,人数,公司名称,公司地址,公司性质,公司网址,公司行业,公司规模,发布日期,工作名称,工作地点,工作性质,应届生,拉勾网,最低学历,月工资,猎聘,福利,经验,网址,职位类别
13,5人,南京达内为上信息技术有限公司 ,"南京市中山东路532-2号金蝶大学科技园A2栋2楼
查看公司地图",上市公司,http://company.zhaopin.com/CC203669033.htm,计算机软件,1000-9999人,0002-01-01 00:00:00,嵌入式系统（高级）软件开发工程师,南京,全职,http://www.yingjiesheng.com/,https://www.lagou.com/,中专,4001-6000元/月,https://campus.liepin.com/,五险一金年底双薪绩效奖金加班补助全勤奖餐补带薪年假员工旅游,不限,http://jobs.zhaopin.com/203669033255960.htm,软件工程师
16,5人,南京达内为上信息技术有限公司 ,"南京市中山东路532-2号金蝶大学科技园A2栋2楼
查看公司地图",上市公司,http://company.zhaopin.com/CC203669033.htm,计算机软件,1000-9999人,0002-01-01 00:00:00,嵌入式软件开发（可接受无经验+带薪实习）,南京,全职,http://www.yingjiesheng.com/,https://www.lagou.com/,中专,4001-6000元/月,https://campus.liepin.com/,五险一金年底双薪绩效奖金加班补助餐补员工旅游节日福利,不限,http://jobs.zhaopin.com/203669033255940.htm,嵌入式软件开发
21,7人,北京才秀人人科技有限公司01 ,南京市秦淮区太平南路333号金陵御景园8楼,上市公司,http://company.zhaopin.com/CC606673826D90250000000.htm,IT服务(系统/数据/维护),500-999人,0002-01-01 00:00:00,PLC编程/C++编程助理/嵌入式开发助理急聘,南京,全职,http://www.yingjiesheng.com/,https://www.lagou.com/,中专,4001-6000元/月,https://campus.liepin.com/,五险一金年底双薪绩效奖金餐补房补带薪年假员工旅游节日福利,不限,http://jobs.zhaopin.com/606673826250409.htm,电子/电器工程师
24,5人,南京盈捷软件科技有限公司 ,南京市秦淮区王府大街63号中泰大厦3楼,上市公司,http://company.zhaopin.com/CC431904480.htm,计算机软件,500-999人,2018-01-10 10:09:20,嵌入式软件开发实习生,南京,全职,http://www.yingjiesheng.com/,https://www.lagou.com/,不限,4001-6000元/月,https://campus.liepin.com/,五险一金年底双薪绩效奖金交通补助餐补带薪年假员工旅游节日福利,不限,http://jobs.zhaopin.com/431904480250100.htm,嵌入式软件开发
25,4人,南京盈捷软件科技有限公司 ,南京市秦淮区王府大街63号中泰大厦3楼,上市公司,http://company.zhaopin.com/CC431904480.htm,计算机软件,500-999人,2018-01-10 15:26:57,嵌入式软件开发学徒,南京,全职,http://www.yingjiesheng.com/,https://www.lagou.com/,不限,4001-6000元/月,https://campus.liepin.com/,五险一金年底双薪绩效奖金交通补助餐补带薪年假员工旅游节日福利,不限,http://jobs.zhaopin.com/431904480250102.htm,嵌入式软件开发
34,6人,南京达内软件有限公司 ,"南京市软件大道66号华通科技园1楼（1号地铁软件大道）
查看公司地图",上市公司,http://company.zhaopin.com/%E5%8D%97%E4%BA%AC%E8%BE%BE%E5%86%85%E8%BD%AF%E4%BB%B6%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC247018017.htm,计算机软件,500-999人,0002-01-01 00:00:00,急招嵌入式软件开发学徒,南京,全职,http://www.yingjiesheng.com/,https://www.lagou.com/,中专,4001-6000元/月,https://campus.liepin.com/,五险一金年底双薪年终分红加班补助餐补带薪年假员工旅游高温补贴,不限,http://jobs.zhaopin.com/247018017251176.htm,网络管理员
39,3人,南京盈捷软件科技有限公司 ,南京市秦淮区王府大街63号中泰大厦3楼,上市公司,http://company.zhaopin.com/CC431904480.htm,计算机软件,500-999人,2017-12-28 10:00:03,嵌入式软件开发助理/linux开发学徒,南京,全职,http://www.yingjiesheng.com/,https://www.lagou.com/,不限,4001-6000元/月,https://campus.liepin.com/,五险一金年底双薪绩效奖金交通补助餐补带薪年假高温补贴节日福利,不限,http://jobs.zhaopin.com/431904480250112.htm,软件研发工程师
41,5人,南京达内软件有限公司 ,"南京市软件大道66号华通科技园1楼（1号地铁软件大道）
查看公司地图",上市公司,http://company.zhaopin.com/%E5%8D%97%E4%BA%AC%E8%BE%BE%E5%86%85%E8%BD%AF%E4%BB%B6%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC247018017.htm,计算机软件,500-999人,2018-01-09 10:01:11,嵌入式硬件开发助理/双休,南京,全职,http://www.yingjiesheng.com/,https://www.lagou.com/,中专,4001-6000元/月,https://campus.liepin.com/,创业公司五险一金全勤奖节日福利不加班,不限,http://jobs.zhaopin.com/247018017251152.htm,计算机辅助设计师
43,3人,南京盈捷软件科技有限公司 ,南京市秦淮区王府大街63号中泰大厦3楼,上市公司,http://company.zhaopin.com/CC431904480.htm,计算机软件,500-999人,2017-12-28 09:59:37,4k起嵌入式软件开发实习生,南京,全职,http://www.yingjiesheng.com/,https://www.lagou.com/,不限,4001-6000元/月,https://campus.liepin.com/,五险一金绩效奖金加班补助包吃包住餐补带薪年假节日福利,不限,http://jobs.zhaopin.com/431904480250164.htm,软件工程师
52,4人,南京盈捷软件科技有限公司 ,南京市秦淮区王府大街63号中泰大厦3楼,上市公司,http://company.zhaopin.com/CC431904480.htm,计算机软件,500-999人,2018-01-02 10:35:36,嵌入式软件开发实习生助理,南京,全职,http://www.yingjiesheng.com/,https://www.lagou.com/,不限,4001-6000元/月,https://campus.liepin.com/,五险一金绩效奖金加班补助包吃包住餐补带薪年假节日福利,不限,http://jobs.zhaopin.com/431904480250140.htm,软件工程师
53,3人,青岛特来电新能源有限公司 ,http://www.teld.cn,上市公司,http://company.zhaopin.com/CC288977832.htm,互联网/电子商务,1000-9999人,0002-01-01 00:00:00,嵌入式软件开发工程师,南京-雨花台区,全职,http://www.yingjiesheng.com/,https://www.lagou.com/,本科,10001-15000元/月,https://campus.liepin.com/,五险一金餐补通讯补贴定期体检节日福利,不限,http://jobs.zhaopin.com/288977832252168.htm,软件研发工程师
